ofício,Schreiben
redução,Abnahme
retirada,Abnahme
amputação,Abnahme
controle,Abnahme
inspecção,Abnahme
inspeção,Abnahme
vistoria,Abnahme
execução,Abnahme
baixa,Abnahme
declínio,Abnahme
diminuição,Abnahme
recepção,Abnahme
decréscimo,Abnahme
compra,Abnahme
aceitação,Abnahme
amovível,abnehmbar
desmontável,abnehmbar
aceitar,abnehmen
amputar,abnehmen
cortar,abnehmen
decrescente,abnehmend
decair,abnehmen
decrescer,abnehmen
examinar,abnehmen
minguar,abnehmen
recusar,abnehmen
retirar,abnehmen
baixar,abnehmen
diminuir,abnehmen
acreditar,abnehmen
comprar,abnehmen
emagrecer,abnehmen
inspecionar,abnehmen
atender,abnehmen
aversão,Abneigung
xenofobia,Abneigung gegen Fremde
negação,Abneigung
repulsão,Abneigung
aversão,Abneigung
anormal,abnormal
anormalidade,Abnormalität
anormalidade,Abnormität
anomalia,Abnormität
adelgaçar,abnutzen
desgastar,abnutzen
abrasão,Abnutzung
desgaste,Abnutzung
deterioração,Abnutzung
abolicionismo,Abolitionismus
abolicionista,Abolitionistin
abolicionista,Abolitionist
assinatura,Abonnement
subscrição,Abonnement
assinatura,Abonnement
assinante,Abonnent
assinar,abonnieren
aboral,aboral
delegação,Abordnung
assinatura,Abo
subscrição,Abo
apitar,abpfeifen
ricochetear,abprallen
abraâmico,abrahamisch
abraâmico,abrahamitisch
dissuadir,abraten
dissuasão,Abraten
ab-reação,Abreagieren
deduzir,abrechnen
descontar,abrechnen
faturar,abrechnen
subtrair,abrechnen
dedução,Abrechnung
esfregar,abreiben
partir,abreisen
viajar,abreisen
partida,Abreise
tirar,abreissen
arrancar,abreissen
arrancar,abreißen
rasgar,abreißen
romper,abreißen
demolir,abreißen
tirar,abreißen
folhinha,Abreißkalender
adestrar,abrichten
treinar,abrichten
trancar,abriegeln
bloquear,abriegeln
arrancar,abringen
forçar,abringen
compêndio,Abriss
esquema,Abriss
esboço,Abriss
demolição,Abriss
sinopse,Abriss
pedir,abrufen
requisitar,abrufen
arredondar,abrunden
abrupto,abrupt
desabar,abrutschen
deslizar,abrutschen
arrumar,abräumen
limpar,abräumen
cancelar,absagen
desistir,absagen
revogar,absagen
declinar,absagen
recusar,absagen
anular,absagen
parágrafo,Absatz
vazão,Absatz
salto,Absatz
degrau,Absatz
escoamento,Absatz
naufragar,absaufen
abolir,abschaffen
anular,abschaffen
revogar,abschaffen
eliminar,abschaffen
suprimir,abschaffen
abolimento,Abschaffung
abolição,Abschaffung
supressão,Abschaffung
abjecto,abscheulich
abjeto,abscheulich
abominavelmente,abscheulich
desagradável,abscheulich
hediondo,abscheulich
horroroso,abscheulich
repulsivo,abscheulich
sórdido,abscheulich
terrível,abscheulich
tremendo,abscheulich
detestável,abscheulich
repugnante,abscheulich
abominável,abscheulich
execrável,abscheulich
abominação,Abscheu
antipatia,Abscheu
asco,Abscheu
aversão,Abscheu
despeito,Abscheu
horror,Abscheu
oposição,Abscheu
ranço,Abscheu
relutância,Abscheu
repugnância,Abscheu
repulsa,Abscheu
repulsão,Abscheu
tédio,Abscheu
despachar,abschicken
enviar,abschicken
mandar,abschicken
postar,abschicken
deportar,abschieben
expulsar,abschieben
afastamento,Abschiebung
expulsão,Abschiebung
despedida,Abschied
reforma,Abschied
demissão,Abschied
adeus,Abschied
abater,abschießen
abater,abschlachten
assassinar,abschlachten
chacinar,abschlachten
trucidar,abschlachten
relaxar,abschlaffen
indeferir,abschlagen
negar,abschlagen
declinar,abschlagen
recusar,abschlagen
sinal,Abschlagszahlung
alisar,abschleifen
aparar,abschleifen
lixar,abschleifen
polir,abschleifen
afiar,abschleifen
amolar,abschleifen
rebocar,abschleppen
carro-grua,Abschleppwagen
guincho,Abschleppwagen
rebocador,Abschleppwagen
reboque,Abschleppwagen
acabar,abschließen
ajustar,abschließen
cerrar,abschließen
completar,abschließen
concluir,abschließen
final,abschließend
definitivo,abschließend
encerrar,abschließen
finalizar,abschließen
terminar,abschließen
trancar,abschließen
balanço,Abschluss
conclusão,Abschluss
encerramento,Abschluss
fechamento,Abschluss
formatura,Abschluss
liquidação,Abschluss
remate,Abschluss
terminação,Abschluss
termo,Abschluss
término,Abschluss
fim,Abschluss
degustar,abschmecken
lubrificar,abschmieren
lubrificação,Abschmieren
amputar,abschneiden
encurtar,abschneiden
cortar,abschneiden
sector,Abschnitt
secção,Abschnitt
segmento,Abschnitt
setor,Abschnitt
seção,Abschnitt
trecho,Abschnitt
vedação,Abschottung
dissuadir,abschrecken
refrescar-se,abschrecken
colar,abschreiben
copiar,abschreiben
copista,Abschreiberin
copista,Abschreiber
depreciação,Abschreibung
palmilhar,abschreiten
transcrição,Abschrift
chanfradura,Abschrägung
desvio,Abschweifen
descongestionante,abschwellend
declínio,Abschwung
desaceleração,Abschwung
extenuar,abschwächen
amortecer,abschwächen
abrandar,abschwächen
abjurar,abschwören
perjurar,abschwören
renegar,abschwören
abjuramento,Abschwörung
abjuração,Abschwörung
apreciável,abschätzbar
calculável,abschätzbar
estimável,abschätzbar
apreciar,abschätzen
avaliar,abschätzen
estimar,abschätzen
denegridor,abschätzig
depreciativo,abschätzig
derrogatório,abschätzig
pejorativo,abschätzig
alcantilado,abschüssig
escarpado,abschüssig
íngreme,abschüssig
previsível,absehbar
calculável,absehbar
prever,absehen
escumadeira,Abseihkelle
impedimento,Abseits
remetente,Absenderin
remetente,Absender
ausência,Absenz
dedutível,absetzbar
tirar,absetzen
retirar,absetzen
vender,absetzen
deduzir,absetzen
dedução,Absetzung
destituição,Absetzung
assegurar,absichern
cobertura,Absicherung
hedge,Absicherung
intencionalmente,absichtlich
intencional,absichtlich
propositado,absichtlich
involuntário,absichtslos
intenção,Absicht
intuito,Absicht
propósito,Absicht
fim,Absicht
objetivo,Absicht
absoluto,absolut
completamente,absolut
absolutivo,Absolutiv
totalmente,absolut
graduado,Absolvent
absolver,absolvieren
peculiar,absonderlich
apartar,absondern
excretar,absondern
secreção,Absonderung
absorvente,absorbierend
trancar,absperren
vedação,Absperrung
acordo,Absprache
estender,abspreizen
esticar,abspreizen
pulo,Absprung
derivar,abstammen
descender,abstammen
provir,abstammen
sair,abstammen
ascendência,Abstammung
derivação,Abstammung
descendência,Abstammung
descida,Abstammung
estirpe,Abstammung
filiação,Abstammung
linhagem,Abstammung
origem,Abstammung
corredor,Abstand
diferença,Abstand
distância,Abstand
espaço,Abstand
fenda,Abstand
intervalo,Abstand
lacuna,Abstand
margem,Abstand
vácuo,Abstand
delinear,abstecken
delimitar,abstecken
demarcar,abstecken
marcar,abstecken
hospedar-se,absteigen
desmontar,absteigen
pousar,abstellen
desligar,abstellen
arrumar,abstellen
estacionar,abstellen
suspender,abstellen
guardar,abstellen
cortar,abstellen
fechar,abstellen
selar,abstempeln
carimbar,abstempeln
atrofiar,absterben
morrer,absterben
murchar,absterben
decadência,Abstieg
descenso,Abstieg
rebaixamento,Abstieg
desmama,Abstillen
desmame,Abstillen
votar,abstimmen
conciliação,Abstimmung
sincronização,Abstimmung
abstinente,abstinent
abstinente,Abstinenzlerin
abstémia,Abstinenzlerin
abstêmia,Abstinenzlerin
abstinente,Abstinenzler
abstémio,Abstinenzler
abstêmio,Abstinenzler
abstinência,Abstinenz
repelente,abstoßend
repugnante,abstoßend
ejetar,abstoßen
empurrar,abstoßen
repelir,abstoßen
repulsão,Abstoßen
aversão,Abstoßung
recusa,Abstoßung
repugnância,Abstoßung
repulsa,Abstoßung
repulsão,Abstoßung
repulsa,Abstoß
abstrair,abstrahieren
irradiação,Abstrahlung
abstratamente,abstrakt
abstrato,abstrakt
abstracionismo,Abstraktionismus
abstração,Abstraktion
desmentir,abstreiten
escalonamento,Abstufung
queda,Absturz
ruína,Absturz
cair,abstürzen
despenhar-se,abstürzen
precipitar,abstürzen
travar,abstürzen
despencar,abstürzen
apoiar,abstützen
apoio,Abstützung
absurdidade,Absurdität
absurdo,Absurdität
abcesso,Abszess
abscesso,Abszess
abscissa,Abszisse
divisão,Abteilung
repartição,Abteilung
sector,Abteilung
secção,Abteilung
departamento,Abteilung
setor,Abteilung
seção,Abteilung
compartimento,Abteil
ablação,Abtragung
afastar,abtreiben
abortivo,abtreibend
derivar,abtreiben
desviar,abtreiben
expulsar,abtreiben
abortar,abtreiben
abortamento,Abtreibung
aborto,Abtreibung
ceder,abtreten
retirar-se,abtreten
secar,abtrocknen
prejudicial,abträglich
apóstata,abtrünnig
desleal,abtrünnig
apóstata,Abtrünniger
abade,Abt
abundante,abundant
falsa-juta,Abutilonhanf
mudar,abwandern
deslocamento,Abwanderung
migração,Abwanderung
êxodo,Abwanderung
modificação,Abwandlung
esgoto,Abwasser
alternar,abwechseln
alternadamente,abwechselnd
revezar,abwechseln
variado,abwechslungsreich
alternância,Abwechslung
descaminho,Abweg
desvio,Abweg
defender-se,abwehren
repelir,abwehren
zagueiro,Abwehrspieler
defesa,Abwehr
resistência,Abwehr
desviar-se,abweichen
diferir,abweichen
divergir,abweichen
variante,abweichend
diferente,abweichend
divergente,abweichend
anormal,abweichend
desviante,abweichend
irregular,abweichend
desvio,Abweichen
dissidente,Abweichlerin
dissidente,Abweichler
discrepância,Abweichung
divergência,Abweichung
variação,Abweichung
desvio,Abweichung
distante,abweisend
frio,abweisend
negar,abweisen
recusar,abweisen
rejeitar,abweisen
evitável,abwendbar
apartar,abwenden
prevenir,abwenden
atirar,abwerfen
denegridor,abwertend
depreciativo,abwertend
derrogatório,abwertend
depreciar,abwerten
negativo,abwertend
pejorativo,abwertend
depreciação,Abwertung
desvalorização,Abwertung
ausente,abwesend
ausência,Abwesenheit
falta,Abwesenheit
concluir,abwickeln
efetuar,abwickeln
executar,abwickeln
desenrolar,abwickeln
liquidar,abwickeln
desenrolamento,Abwicklung
gerenciamento,Abwicklung
pesar,abwiegen
lançamento,Abwurf
ponderação,Abwägung
abaixo,abwärts
descendente,abwärts fahrend
liquidação,Abzahlung
emblema,Abzeichen
dedutível,abziehbar
subtraível,abziehbar
abater,abziehen
abstrair,abziehen
aspirar,abziehen
deduzir,abziehen
descascar,abziehen
descontar,abziehen
diminuir,abziehen
disparar,abziehen
engarrafar,abziehen
envasar,abziehen
esfolar,abziehen
organizar,abziehen
realizar,abziehen
retirar,abziehen
subtrair,abziehen
tirar,abziehen
retirar,abziehen
sair,abziehen
rodo,Abzieher
visar,abzielen auf
desaparecer,abzischen
pirar-se,abzischen
sumir-se,abzischen
exaustor,Abzugshaube
cópia,Abzug
vazão,Abzug
dedução,Abzug
gatilho,Abzug
retirada,Abzug
saída,Abzug
ramificar,abzweigen
separar,abzweigen
menos,abzüglich
desde,ab
alterável,abänderbar
modificável,abänderbar
alterar,abändern
emendar,abändern
mudar,abändern
revisar,abändern
rever,abändern
corrigir,abändern
alteração,Abänderung
modificação,Abänderung
acessório,Accessoire
conta,Account
acerola,Acerola
acetaldeído,Acetaldehyd
acetileno,Acetylen
Ah!,Ach!
Ai!,Ach!
Oh!,Ach!
ágata,Achat
Aquiles,Achilles
Sério?,Ach ja?
escotofobia,Achluophobie
acondroplasia,Achondroplasie
besugo,Achselfleckbrasse
axila,Achselhöhle
axila,Achsel
ombro,Achsel
sovaco,Achsel
eixo,Achse
árvore,Achse
Ah!,Ach so!
dignamente,achtbar
digno,achtbar
respeitavelmente,achtbar
respeitável,achtbar
octógono,Achteck
colcheia,Achtelnote
venerar,achten
estimar,achten
respeitar,achten
oitavo,achte
montanha-russa,Achterbahn
oitocentos,achthundert
desatento,achtlos
descuidado,achtlos
distraído,achtlos
desatenção,Achtlosigkeit
negligente,achtlos
oito,acht
atencioso,achtsam
cuidado,achtsam
atenção,Achtsamkeit
observador,achtsam
atenção,Achtung
estima,Achtung
respeito,Achtung
consideração,Achtung
dezoito,achtzehn
oitenta,achtzig
atenção,Acht
amor-perfeito-bastardo,Acker-Stiefmütterchen
amor-perfeito-bravo,Acker-Stiefmütterchen
erva-da-trindade,Acker-Stiefmütterchen
violeta-dos-campos,Acker-Stiefmütterchen
violeta-dos-prados,Acker-Stiefmütterchen
verdezelha,Acker-Winde / Ackerwinde
agricultura,Ackerbau
fava,Ackerbohne
alface-de-cordeiro,Ackersalat
campo,Acker
lavoura,Acker
plantação,Acker
roça,Acker
aquisição,Acquisition
actínio,Actinium
actinoide,Actinoid
actinídeo,Actinoid
adamantano,Adamantan
pomo-de-adão,Adamsapfel
adaptação,Adaptation
adicionar,addieren
somar,addieren
adição,Addition
aditivamente,additiv
aditivo,additiv
adução,Adduktion
aristocrático,adelig
distinto,adelig
aristocrata,Adeliger
nobre,Adeliger
fidalgo,adelig
nobiliárquico,adelig
nobre,adelig
aristocracia,Adel
cavalheirismo,Adel
fidalguia,Adel
nobreza,Adel
adenosina,Adenosin
adenovírus,Adenovirus
sangria,Aderlass
veia,Ader
adessivo,Adessiv
adesão,Adhäsion
gastroplastia,Adipositaschirurgie
adjetivado,adjektivisch
adjectivo,Adjektiv
adjetivo,Adjektiv
adjunto,adjungiert
águia,Adler
aristocrático,adlig
distinto,adlig
aristocrata,Adliger
nobre,Adliger
nobre,Adlige
fidalgo,adlig
nobiliárquico,adlig
nobre,adlig
admiravelmente,admirabel
admirável,admirabel
almirante,Admiral
adolescente,adoleszent
Adónis,Adonis
Adônis,Adonis
adoptar,adoptieren
adotar,adoptieren
adotado,adoptiert
adopção,Adoption
adoção,Adoption
adrenalina,Adrenalin
adrenoleucodistrofia,Adrenoleukodystrophie
destinatária,Adressatin
destinatário,Adressat
endereço,Adresse
adsorção,Adsorption
advecção,Advektion
adventismo,Adventismus
Advento,Advent
adverbial,adverbial
advérbio,Adverb
feijão-azuqui,Adzukibohne
apropriado,adäquat
Eneida,Aeneis
aeróbio,aerob
aerobiologia,Aerobiologie
aerodinâmica,Aerodynamik
aerofone,Aerofon
aerómetro,Aerometer
aeronausifobia,Aeronausiphobie
aerofobia,Aerophobie
aerofone,Aerophon
aeroponia,Aeroponik
aerosol,Aerosol
aerossol,Aerosol
afetar,affektieren
fingir,affektieren
simular,affektieren
dengoso,affektiert
afecto,Affekt
afeto,Affekt
emoção,Affekt
paixão,Affekt
baobá,Affenbrotbaum
homem-macaco,Affenmensch
macaco,Affe
afim,affin
afinidade,Affinität
afronta,Affront
assunto,Affäre
caso,Affäre
caso,Affäre
coisa,Affäre
matéria,Affäre
escândalo,Affäre
incidente,Affäre
afegão,Afghane
afegão,afghanisch
Afeganistão,Afghanistan
bôer,Afrikaander
bôer,Afrikaaner
africana,Afrikanerin
africano,Afrikaner
africano,afrikanisch
imbondeiro,Afrikanischer Affenbrotbaum
África,Afrika
afro-americano,Afroamerikaner
afro-americano,afroamerikanisch
afro-brasileiro,afrobrasilianisch
pós-barba,Aftershave
ânus,After
agateofobia,Agateophobie
Agave,Agaue
agenda,Agenda
agência,Agentur
agente,Agent
representante,Agent
ageustia,Ageusie
aguesia,Ageusie
aglomeração,Agglomeration
aglutinaçao,Agglutination
fase,Aggregatzustand
agressão,Aggression
agressivamente,aggressiv
agressivo,aggressiv
agressividade,Aggressivität
agressor,Aggressor
agir,agieren
agilidade,Agilität
ágil,agil
demagogo,Agitator
agnóstico,Agnostiker
agnóstico,agnostisch
agnosticismo,Agnostizismus
agonia,Agonie
agonista,Agonist
agorafobia,Agoraphobie
agrafobia,Agraphobie
agroecologia,Agrarökologie
agrizoofobia,Agrizoophobie
agroturismo,Agrotourismus
agroecologia,Agroökologie
agirofobia,Agyrophobie
sovela,Ahle
Amósis,Ahmes
Amósis,Ahmose
ancestral,Ahnen-
ancestral,Ahne
antepassado,Ahne
ancestral,Ahnin
antepassada,Ahnin
desinformado,ahnungslos
despreocupado,ahnungslos
desprevenido,ahnungslos
noção,Ahnung
palpite,Ahnung
pressentimento,Ahnung
idéia,Ahnung
ancestral,Ahn
antepassado,Ahn
progenitor,Ahn
bordo,Ahorn
ácer,Ahorn
aicmofobia,Aichmophobie
belonofobia,Aichmophobie
Aids,Aids
sida,Aids
ailurofobia,Ailurophobie
galeofobia,Ailurophobie
gatofobia,Ailurophobie
airbag,Airbag
Ésquilo,Aischylos
aiatolá,Ajatollah
academia,Akademie
académico,Akademiker
bacharel,Akademiker
academicamente,akademisch
académico,akademisch
acadêmico,akademisch
cadeira,akademisches Lehrfach
acarofobia,Akarophobie
acadiano,akkadisch
acádio,akkadisch
acadiano,Akkadisch
acádio,Akkadisch
acomodação,Akkommodation
acomodar,akkommodieren
adaptar,akkommodieren
acordeão,Akkordeon
acreditação,Akkreditierung
aculturação,Akkulturation
acumulação,Akkumulation
bateria,Akkumulator
acusativo,Akkusativ
acne,Akne
meticulosamente,akribisch
meticuloso,akribisch
acrónimo,Akronym
acrofobia,Akrophobie
mala,Aktenkoffer
maleta,Aktenkoffer
pasta,Aktentasche
ator,Akteur
player,Akteur
arquivo,Akte
agiota,Aktienspekulant
especulador,Aktienspekulant
agiotagem,Aktienspekulation
acção,Aktie
ação,Aktie
título,Aktie
ação,Aktion
accionista,Aktionärin
acionista,Aktionärin
accionista,Aktionär
acionista,Aktionär
activo,aktiv
aplicado,aktiv
ativo,aktiv
diligente,aktiv
ativar,aktivieren
ativista,Aktivistin
ativista,Aktivist
atividade,Aktivität
ativo,Aktiv
atualizar,aktualisieren
actualizado,aktualisiert
atualizado,aktualisiert
atualização,Aktualisierung
actual,aktuell
atual,aktuell
corrente,aktuell
relevante,aktuell
acto,Akt
ato,Akt
acupunctora,Akupunkteurin
acupunturista,Akupunkteurin
acupunctor,Akupunkteur
acupunturista,Akupunkteur
acupuntura,Akupunktur
acusticofobia,Akustikophobie
acústica,Akustik
acusticamente,akustisch
acústico,akustisch
crítico,akut
acentuar,akzentuieren
acento,Akzent
sotaque,Akzent
aceitável,akzeptabel
razoável,akzeptabel
aceitação,Akzeptanz
aceitar,akzeptieren
Alabama,Alabama
Aladim,Aladin
Aladino,Aladin
alarme,Alarmanlage
alarmar,alarmieren
alertar,alarmieren
alarmista,alarmistisch
alarma,Alarm
alarme,Alarm
rebate,Alarm
Alasca,Alaska
albanês,Albaner
Albânia,Albanien
albanês,albanisch
albatroz,Albatros
albedo,Albedo
afetado,albern
aftectado,albern
aparvalhado,albern
bobo,albern
bobagem,Albernheit
imbecil,albern
infantil,albern
ingênuo,albern
insensato,albern
pateta,albern
ridículo,albern
simplório,albern
tolo,albern
albinismo,Albinismus
albita,Albit
pesadelo,Albtraum
albuminurofobia,Albuminurophobie
angústia,Alb
alquimia,Alchemie
alquimista,Alchimist
Alexandre,Alexander
Alexandria,Alexandria
Alexandria,Alexandrien
alexandrita,Alexandrit
Afonso,Alfons
Algarve,Algarve
algébrico,algebraisch
álgebra,Algebra
Argélia,Algerien
argelina,Algerierin
argelino,Algerier
argelino,algerisch
lagartixa-do-mato,Algerische Sandläufer
alga,Alge
Argel,Algier
algoritmo,Algorithmus
álibi,Alibi
alienação,Alienation
alifático,aliphatisch
alcalino,alkalihaltig
básico,alkalihaltig
alcalino,alkalisch
básico,alkalisch
Alcmena,Alkmene
alcoolismo,Alkoholabhängigkeit
alcoólatra,Alkoholikerin
alcoólatra,Alkoholiker
alcoólico,alkoholisch
espirituoso,alkoholisch
alcoolismo,Alkoholismus
alcoolismo,Alkoholsucht
alcoólatra,alkoholsüchtig
álcool,Alkohol
Alá,Allah
alativo,Allativ
Bravo!,Alle Achtung!
alameda,Allee
aleia,Allee
avenida,Allee
alegoria,Allegorie
abandonado,allein auf weiter Flur
monoparental,alleinerziehend
exclusivo,alleinig
sozinho,alleinig
só,alleinig
